stratum,chart_id,seed,frozen_arm,opportunity_key,lane,start_time,end_time,frozen_known,explanation_class,evidence,first_governed_divergence
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00000132-BaseHead-S132-T14632-ANA",2,14632,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00002832-BaseHead-S2832-T148694-ANA",5,148694,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00003456-BaseHead-S3456-T178950-ANA",2,178950,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,1,control,"OP-00003589-BaseHead-S3589-T190200-ANA",3,190200,,true,B_EARLIER_GOVERNED_DIVERGENCE,"Earlier governed divergence OP-00000132-BaseHead-S132-T14632-ANA; later frozen proposal is not required to remain reachable.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00000785-BaseHead-S785-T55967-ANA",5,55967,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00002832-BaseHead-S2832-T148694-ANA",5,148694,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00003073-BaseHead-S3073-T163268-ANA",2,163268,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00003456-BaseHead-S3456-T178950-ANA",2,178950,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004455-BaseHead-S4455-T221819-ANA",2,221819,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,2,control,"OP-00004470-BaseHead-S4470-T222416-ANA",1,222416,,true,B_EARLIER_GOVERNED_DIVERGENCE,"Earlier governed divergence OP-00000785-BaseHead-S785-T55967-ANA; later frozen proposal is not required to remain reachable.","OP-00000785-BaseHead-S785-T55967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,4,control,"OP-00000083-BaseHead-S83-T10967-ANA",6,10967,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000083-BaseHead-S83-T10967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,4,control,"OP-00001379-BaseHead-S1379-T78637-ANA",1,78637,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000083-BaseHead-S83-T10967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,4,control,"OP-00003072-BaseHead-S3072-T163268-ANA",2,163268,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000083-BaseHead-S83-T10967-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,5,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000659-BaseHead-S659-T51279-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,6,control,"OP-00003073-BaseHead-S3073-T163268-ANA",2,163268,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000659-BaseHead-S659-T51279-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,6,control,"OP-00003850-BaseHead-S3850-T200427-ANA",5,200427,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000659-BaseHead-S659-T51279-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,control,"OP-00000132-BaseHead-S132-T14632-ANA",2,14632,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,control,"OP-00000183-BaseHead-S183-T18552-ANA",3,18552,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,7,control,"OP-00001430-BaseHead-S1430-T80512-ANA",1,80512,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000132-BaseHead-S132-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,control,"OP-00003072-BaseHead-S3072-T163268-ANA",2,163268,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00002832-BaseHead-S2832-T148694-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,B_EARLIER_GOVERNED_DIVERGENCE,"Earlier governed divergence OP-00002832-BaseHead-S2832-T148694-ANA; later frozen proposal is not required to remain reachable.","OP-00002832-BaseHead-S2832-T148694-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,8,control,"OP-00004470-BaseHead-S4470-T222416-ANA",1,222416,,true,B_EARLIER_GOVERNED_DIVERGENCE,"Earlier governed divergence OP-00002832-BaseHead-S2832-T148694-ANA; later frozen proposal is not required to remain reachable.","OP-00002832-BaseHead-S2832-T148694-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,9,control,"OP-00000673-BaseHead-S673-T51961-ANA",0,51961,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000154-BaseHead-S154-T16336-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,9,control,"OP-00003899-BaseHead-S3899-T202302-ANA",1,202302,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000154-BaseHead-S154-T16336-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,9,control,"OP-00004283-BaseHead-S4283-T215683-ANA",6,215683,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000154-BaseHead-S154-T16336-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,10,control,"OP-00000135-BaseHead-S135-T14632-ANA",2,14632,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000135-BaseHead-S135-T14632-ANA"
primary,02D9D1781418E7442956D4D901C8C611E58256556AE9A828E72128C3B5B8E3EB,10,control,"OP-00003032-BaseHead-S3032-T161990-ANA",6,161990,,true,A_REACHED_CANONICAL_REJECT,"Equivalent opportunity/candidate reached; frozen legacy lane absent from canonical legal lanes.","OP-00000135-BaseHead-S135-T14632-ANA"
